"seasonal","trend","remainder","date"
-2089.47329282349,16790.4512150659,-10101.9779222424,2021-06-08
-655.860523328672,16747.7316624821,-12342.8711391534,2021-06-09
646.954113934039,16705.0121098982,-12312.9662238323,2021-06-10
6500.92426783209,16662.2925573144,-7437.21682514647,2021-06-11
2420.34024541623,16619.5730047305,708.086749853232,2021-06-12
-4442.10523641906,16576.8534521467,6044.25178427236,2021-06-13
-2380.77956464368,16534.1338995629,-212.354334919171,2021-06-14
-2089.47329282349,16491.414346979,-1399.94105415553,2021-06-15
-655.860523328672,16448.6947943952,-1990.83427106649,2021-06-16
646.954113934039,16405.9752418113,-2901.92935574536,2021-06-17
6500.92426783209,16363.2556892275,-5491.17995705957,2021-06-18
2420.34024541623,16320.5361366436,4075.12361794013,2021-06-19
-4442.10523641906,16277.8165840598,4809.28865235926,2021-06-20
-2380.77956464368,16235.097031476,1407.68253316773,2021-06-21
-2089.47329282349,16192.3774788921,2026.09581393137,2021-06-22
-655.860523328672,16149.6579263083,1007.2025970204,2021-06-23
646.954113934039,16106.9383737244,1726.10751234153,2021-06-24
6500.92426783209,16064.2188211406,-2387.14308897267,2021-06-25
2420.34024541623,16021.4992685567,6365.16048602703,2021-06-26
-4442.10523641906,15978.7797159729,10201.3255204462,2021-06-27
-2380.77956464368,15947.9535694617,8160.82599518196,2021-06-28
-2089.47329282349,15917.1274229506,9733.34586987293,2021-06-29
-655.860523328672,15886.3012764394,9341.5592468893,2021-06-30
646.954113934039,15855.4751299282,9091.57075613776,2021-07-01
6500.92426783209,15824.648983417,4395.42674875088,2021-07-02
2420.34024541623,15793.8228369059,9706.83691767792,2021-07-03
-4442.10523641906,15762.9966903947,9399.10854602438,2021-07-04
-2380.77956464368,15732.1705438835,8716.60902076018,2021-07-05
-2089.47329282349,15701.3443973723,10352.1288954512,2021-07-06
-655.860523328672,15670.5182508612,10641.3422724675,2021-07-07
646.954113934039,15639.69210435,10267.353781716,2021-07-08
6500.92426783209,15608.8659578388,10066.2097743291,2021-07-09
2420.34024541623,15578.0398113276,12332.6199432561,2021-07-10
-4442.10523641906,15547.2136648165,11200.8915716026,2021-07-11
-2380.77956464368,15516.3875183053,4718.39204633839,2021-07-12
-2089.47329282349,15485.5613717941,4865.91192102937,2021-07-13
-655.860523328672,15454.7352252829,3646.12529804573,2021-07-14
646.954113934039,15423.9090787718,2871.13680729419,2021-07-15
6500.92426783209,15393.0829322606,-17210.0072000927,2021-07-16
2420.34024541623,15362.2567857494,-14339.5970311656,2021-07-17
-4442.10523641906,15331.4306392382,-6725.32540281919,2021-07-18
-2380.77956464368,15300.6044927271,-8206.82492808339,2021-07-19
-2089.47329282349,15269.7783462159,-9326.30505339241,2021-07-20
-655.860523328672,15238.9521997047,-9428.09167637605,2021-07-21
646.954113934039,15208.1260531936,-10612.0801671276,2021-07-22
6500.92426783209,15177.2999066824,-16164.2241745145,2021-07-23
2420.34024541623,15146.4737601712,-11136.8140055874,2021-07-24
-4442.10523641906,15115.64761366,-6339.54237724097,2021-07-25
-2380.77956464368,15084.8214671489,-7482.04190250518,2021-07-26
-2089.47329282349,15053.9953206377,-7564.5220278142,2021-07-27
-655.860523328672,15023.1691741265,-1321.30865079784,2021-07-28
646.954113934039,14992.3430276153,-704.297141549376,2021-07-29
6500.92426783209,14961.5168811042,-3258.44114893625,2021-07-30
